Date,Transaction,Deposit,Withdrawal,Balance in Original Currency
2025-11-29 00:00:00,Balance Brought Forward,,,975879.2
2025-12-31 00:00:00,Balance Carried Forward,,,971465.11
2025-12-31 00:00:00,Interest,0.83,,971465.11
2025-11-30 00:00:00,Interest,7.3,,975881.5
2025-11-30 00:00:00,Transfer,,5,975874.2
2025-12-21 00:00:00,Transfer,,10,974065.58
2025-12-13 00:00:00,Transfer,,11.12,975009.88
2025-12-20 00:00:00,Transfer,,18.5,974303.58
2025-12-14 00:00:00,Transfer,,24.5,974696.38
2025-12-26 00:00:00,Transfer,,26,971532.28
2025-12-20 00:00:00,Transfer,,26,974322.08
2025-12-25 00:00:00,Transfer,,32,971618.78
2025-12-14 00:00:00,Transfer,,32,974664.38
2025-12-04 00:00:00,Transfer,,45.9,975447.6
2025-12-17 00:00:00,Transfer,,48.9,974615.48
2025-12-19 00:00:00,Transfer,,49,974420.68
2025-12-02 00:00:00,Transfer,,51.9,975829.6
2025-12-24 00:00:00,Transfer,,56,971740.58
2025-12-08 00:00:00,Transfer,,56,975286.2
2025-12-25 00:00:00,Transfer,,60.5,971558.28
2025-12-10 00:00:00,Transfer,,61.2,975155
2025-12-11 00:00:00,Transfer,,64,975091
2025-12-30 00:00:00,Transfer,,68,971464.28
2025-12-12 00:00:00,Transfer,,70,975021
2025-12-09 00:00:00,Transfer,,70,975216.2
2025-12-20 00:00:00,Transfer,,72.6,974348.08
2025-12-23 00:00:00,Transfer,,88,971796.58
2025-12-25 00:00:00,Transfer,,89.8,971650.78
2025-12-04 00:00:00,Transfer,,105.4,975342.2
2025-12-03 00:00:00,Transfer,,127.1,975702.5
2025-12-19 00:00:00,Transfer,,145.8,974469.68
2025-12-03 00:00:00,Transfer,,209,975493.5
2025-12-21 00:00:00,Transfer,,228,974075.58
2025-12-13 00:00:00,Transfer,,289,974720.88
2025-12-23 00:00:00,Transfer,,2181,971884.58
